UE;0;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;RRCSetupRequest; ;0;0;0;3;0;0
UE;1;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;RRCSetup; ;2;0;0;0;0;0
UE;2;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;RRCSetupComplete;Registrationrequest;2;1;0;1;0;0
UE;3;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;DLInformationTransfer;Authenticationrequest;2;1;0;0;0;0
UE;4;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;ULInformationTransfer;Authenticationresponse;2;1;0;0;0;0
UE;5;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;DLInformationTransfer;Securitymodecommand;2;1;0;0;0;0
UE;6;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;ULInformationTransfer;Securitymodecomplete;2;1;0;0;0;0
UE;7;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;SecurityModeCommand; ;2;1;0;0;0;0
UE;8;v2.1;SECSM;1749482829;10000;1;2880;2880;0;2089900004778;2;2;0;2;SecurityModeComplete; ;2;1;3;0;0;0
UE;9;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;RRCSetupRequest; ;0;0;0;3;0;0
UE;10;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;RRCSetup; ;2;0;0;0;0;0
UE;11;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;RRCSetupComplete;Registrationrequest;2;1;0;1;0;0
UE;12;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;DLInformationTransfer;Authenticationrequest;2;1;0;0;0;0
UE;13;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;ULInformationTransfer;Authenticationresponse;2;1;0;0;0;0
UE;14;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;DLInformationTransfer;Securitymodecommand;2;1;0;0;0;0
UE;15;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;ULInformationTransfer;Securitymodecomplete;2;1;0;0;0;0
UE;16;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;SecurityModeCommand; ;2;1;0;0;0;0
UE;17;v2.1;SECSM;1749482835;10000;2;61923;61923;0;2089900004788;2;2;0;2;SecurityModeComplete; ;2;1;3;0;0;0
UE;18;v2.1;SECSM;1749482840;10000;3;57035;57035;0;0;0;0;0;0;RRCSetupRequest; ;0;0;0;3;0;0
UE;19;v2.1;SECSM;1749482840;10000;3;57035;57035;0;0;0;0;0;0;RRCSetup; ;2;0;0;0;0;0
UE;20;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;RRCSetupComplete;Registrationrequest;2;1;0;1;0;0
UE;21;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;DLInformationTransfer;Authenticationrequest;2;1;0;0;0;0
UE;22;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;ULInformationTransfer;Authenticationresponse;2;1;0;0;0;0
UE;23;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;DLInformationTransfer;Securitymodecommand;2;1;0;0;0;0
UE;24;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;ULInformationTransfer;Securitymodecomplete;2;1;0;0;0;0
UE;25;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;SecurityModeCommand; ;2;1;0;0;0;0
UE;26;v2.1;SECSM;1749482841;10000;3;57035;57035;0;2089900004798;2;2;0;2;SecurityModeComplete; ;2;1;3;0;0;0
UE;27;v2.1;SECSM;1749482846;10000;4;53243;53243;0;0;0;0;0;0;RRCSetupRequest; ;0;0;0;3;0;0
UE;28;v2.1;SECSM;1749482846;10000;4;53243;53243;0;0;0;0;0;0;RRCSetup; ;2;0;0;0;0;0
UE;29;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;RRCSetupComplete;Registrationrequest;2;1;0;1;0;0
UE;30;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;DLInformationTransfer;Authenticationrequest;2;1;0;0;0;0
UE;31;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;ULInformationTransfer;Authenticationresponse;2;1;0;0;0;0
UE;32;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;DLInformationTransfer;Securitymodecommand;2;1;0;0;0;0
UE;33;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;ULInformationTransfer;Securitymodecomplete;2;1;0;0;0;0
UE;34;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;SecurityModeCommand; ;2;1;0;0;0;0
UE;35;v2.1;SECSM;1749482847;10000;4;53243;53243;0;2089900004709;2;2;0;2;SecurityModeComplete; ;2;1;3;0;0;0
